model,class_id,alpha,checkpoint,hidden_layers,hidden_width,image_path
seed0_7x250,8,0.97,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-8__alpha-0p97__checkpoint-epoch_100.png
seed0_7x250,9,0.97,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-9__alpha-0p97__checkpoint-epoch_100.png
seed0_7x250,0,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-0__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,1,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-1__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,2,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-2__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,3,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-3__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,4,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-4__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,5,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-5__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,6,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-6__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,7,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-7__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,8,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-8__alpha-0p99__checkpoint-epoch_100.png
seed0_7x250,9,0.99,epoch_100,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed0_7x250__class-9__alpha-0p99__checkpoint-epoch_100.png
seed123_7x250,0,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,1,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,2,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,3,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,4,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,5,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,6,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,7,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,8,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,9,0.90,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p90__checkpoint-epoch_000.png
seed123_7x250,0,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,1,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,2,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,3,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,4,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,5,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,6,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,7,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,8,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,9,0.93,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p93__checkpoint-epoch_000.png
seed123_7x250,0,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,1,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,2,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,3,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,4,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,5,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,6,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,7,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,8,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,9,0.95,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p95__checkpoint-epoch_000.png
seed123_7x250,0,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,1,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,2,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,3,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,4,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,5,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,6,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,7,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,8,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,9,0.97,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p97__checkpoint-epoch_000.png
seed123_7x250,0,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,1,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,2,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,3,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,4,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,5,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,6,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,7,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,8,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,9,0.99,epoch_000,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p99__checkpoint-epoch_000.png
seed123_7x250,0,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,1,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,2,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,3,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,4,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,5,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,6,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,7,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,8,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,9,0.90,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p90__checkpoint-epoch_025.png
seed123_7x250,0,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,1,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,2,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,3,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,4,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,5,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,6,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,7,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,8,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,9,0.93,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p93__checkpoint-epoch_025.png
seed123_7x250,0,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,1,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,2,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,3,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,4,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,5,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,6,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,7,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,8,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,9,0.95,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p95__checkpoint-epoch_025.png
seed123_7x250,0,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,1,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,2,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,3,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,4,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,5,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,6,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,7,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,8,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,9,0.97,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-9__alpha-0p97__checkpoint-epoch_025.png
seed123_7x250,0,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-0__alpha-0p99__checkpoint-epoch_025.png
seed123_7x250,1,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-1__alpha-0p99__checkpoint-epoch_025.png
seed123_7x250,2,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-2__alpha-0p99__checkpoint-epoch_025.png
seed123_7x250,3,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-3__alpha-0p99__checkpoint-epoch_025.png
seed123_7x250,4,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-4__alpha-0p99__checkpoint-epoch_025.png
seed123_7x250,5,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-5__alpha-0p99__checkpoint-epoch_025.png
seed123_7x250,6,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-6__alpha-0p99__checkpoint-epoch_025.png
seed123_7x250,7,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-7__alpha-0p99__checkpoint-epoch_025.png
seed123_7x250,8,0.99,epoch_025,7,250,/Users/heliu/Desktop/ENS/Remote-cluster/vnncomp_net/update_overview/nap_rule_images/model-seed123_7x250__class-8__alpha-0p99__checkpoint-epoch_025.png
